id,title,status,action,time_min,context,cost,priority,blocked_by,decision_needed,doc_link,requires_car_down,requires_parts,notes
BASE-001,Install remaining rare A/C high-pressure line,done,install,60,car,0,critical,,,PROJECT.md#ac,true,true,Installed during current reassembly; preserve and protect because the line is effectively unobtainable
BASE-002,Restore hydraulic power-steering plumbing,done,install,120,car,0,critical,,,PROJECT.md#hydraulic-power-steering,true,true,Hydraulic PS hardware and plumbing restored from prior rack bypass configuration
BASE-003,Install standard-length accessory belt after PS restoration,done,install,30,car,0,high,BASE-002,,PROJECT.md#hydraulic-power-steering,true,true,Accessory drive returned to hydraulic-PS configuration
BASE-004,Correct steering rack/column indexing,done,install,45,car,0,high,,,PROJECT.md#hydraulic-power-steering,true,false,Steering wheel mechanically recentered
BASE-005,3D-scan A/C PS and charge-pipe packaging region,done,measure,60,car,0,low,,,PROJECT.md#intercooler-piping--packaging,true,true,Scan captured; corridor review suggests limited practical space can be recovered with current architecture
BASE-006,Add practical protection/support for rare A/C line,done,fabricate,45,car,25,critical,BASE-001,,PROJECT.md#intercooler-piping--packaging,true,true,Rare A/C line P-clipped for support and protected with 5/8-in heater hose around the vulnerable section
BASE-007,Reinstall existing intercooler piping and return engine bay to running configuration,done,install,60,car,0,critical,BASE-001;BASE-002;BASE-003;BASE-004;BASE-006,,PROJECT.md#execution-logic,true,true,Existing charge piping reinstalled and engine returned to running configuration
BASE-008,Verify A/C operation after reassembly,ready,vehicle-test,30,car,0,high,BASE-007,,PROJECT.md#ac,false,false,A/C request and compressor load confirmed during idle diagnostics; finish normal-use cabin-cooling and leak check
BASE-009,Verify hydraulic power-steering operation and steering-wheel position,ready,vehicle-test,30,car,0,high,BASE-007,,PROJECT.md#hydraulic-power-steering,false,false,PS installed and steering wheel recentered; road-check assist leaks belt tracking pump behavior and wheel position
BASE-010,Perform baseline mechanical roadworthiness audit,ready,measure,60,car,0,high,BASE-007,,PROJECT.md#maintenance--catch-up,false,false,Inspect remaining fluids leaks belts hoses brakes charging battery suspension steering lights and wipers; create tasks only from actual findings
BASE-011,Receive Recaro seat rails from Japan,blocked,verify,15,phone,,medium,,,PROJECT.md#seats,false,true,Already ordered; waiting on international shipment rather than a new purchase action
BASE-012,Source suitable Recaro SR3 seats,ready,buy,30,phone,,medium,,,PROJECT.md#seats,false,true,Recaro-compatible infrastructure is selected; watch for an acceptable SR3 set
BASE-013,Install Recaro seats and verify driving position,blocked,install,90,car,0,high,BASE-011;BASE-012,,PROJECT.md#seats,true,true,Verify mounting clearance belt access seating position and normal seat operation
BASE-014,CAD improved charge piping around protected A/C and PS routing,ready,cad,120,cad,0,low,BASE-005,,PROJECT.md#intercooler-piping--packaging,false,false,Deprioritized after scan/corridor review; limited space appears recoverable and near-term effort should go to Street Build instead
BASE-015,Capture PowerFC road diagnostic baseline and rev-hang log,ready,vehicle-test,30,car,0,high,,,diagnostics/2026-09-11-powerfc-baseline.md,false,false,Log several normal shifts and compare VTA RPM ISC command injector pulse width AFR and fuel-cut behavior
BASE-016,Recheck manual-transmission fluid,ready,inspect,20,car,0,high,,,PROJECT.md#maintenance--catch-up,false,false,Verify MT fluid level and condition before declaring maintenance catch-up complete
BASE-017,Measure parasitic draw and isolate circuit by fuse pull,ready,diagnose,45,car,0,high,,,PROJECT.md#maintenance--catch-up,false,false,Use ammeter for key-off draw then pull fuses methodically to identify the responsible circuit
BASE-018,Replace brake fluid,blocked,service,60,car,0,medium,,,PROJECT.md#maintenance--catch-up,true,false,Replace/bleed brake fluid when a second set of hands is available
BASE-019,Change engine oil,done,service,30,car,0,high,,,PROJECT.md#turbo-service-work-completed-during-reassembly,false,true,Oil changed during current service/reassembly work
BASE-020,Rebuild turbo coolant lines,done,service,60,car,0,high,,,PROJECT.md#turbo-service-work-completed-during-reassembly,true,true,Turbo coolant lines rebuilt after old hose/line leakage during service
BASE-021,Rebuild turbo oil drain,done,service,60,car,0,high,,,PROJECT.md#turbo-service-work-completed-during-reassembly,true,true,Current turbo oil drain rebuilt during reassembly
BASE-022,Correct PowerFC A/C idle-hunt base fueling,done,tune,60,car,0,high,,,diagnostics/2026-09-11-powerfc-baseline.md,false,false,Set idle targets to 800/900 and Base Map 3000-load 800/1200-rpm cells to 2.550; A/C-on open-loop AFR stabilized about 14.8-15.0 and hunt effectively disappeared
BASE-023,Schedule and complete state safety inspection,ready,vehicle-test,60,car,,critical,,,PROJECT.md#administrative--road-legal,false,false,Complete before 2026-09-30; first action is to book the inspection appointment
BASE-024,Renew vehicle registration and tags,ready,admin,20,phone,,critical,,,PROJECT.md#administrative--road-legal,false,false,Registration/tags expire at the end of September 2026; renew before 2026-09-30
